id,brand,model,price_total,price_vehicle,year,mileage,displacement,transmission,prefecture,category,link,crawl_date,year_ce,mileage_wan_km,displacement_cc,vehicle_class,brand_clean,brand_origin
1085,トヨタ,プリウス 1.8 A プレミアム ツーリングセレクション モデリスタエアロ/レザーシート/ALPINE9型ナビ/バックカメラ/TV/DVD再生/Bluetooth/追従クルーズコントロール/LEDオートライト/ヘッドアップディスプレイ/電動シート/シートヒーター/ドラレコ/ETC/純正17AW/禁煙車,121.1,113.7,"2016
(H28)","10.5
万km",1800CC,CVT,Kumamoto,混合动力,/usedcar/detail/AU7002700148/index.html,2026-06-21,2016,10.5,1800.0,Mid-size (1501-2000cc),Toyota,Domestic
1086,トヨタ,プリウス 1.8 S 純正ナビ バックカメラ スマートキー HID,92.9,80.1,"2014
(H26)","3.7
万km",1800CC,CVT,Ibaraki,混合动力,/usedcar/detail/AU7022230369/index.html,2026-06-21,2014,3.7,1800.0,Mid-size (1501-2000cc),Toyota,Domestic
1087,トヨタ,アクア 1.5 G ソフトレザーセレクション ナビ バックカメラ 寒冷地仕様 トヨタセーフティセンス 禁煙車 合皮レザーシート ドラレコ コーナーセンサー スマートキー ETC クルコン オートハイビーム 車線逸脱警報 オートライト,114.9,98.2,"2019
(R01)","6.7
万km",1500CC,CVT,Hokkaido,混合动力,/usedcar/detail/AU7077361456/index.html,2026-06-21,2019,6.7,1500.0,Compact (<=1500cc),Toyota,Domestic
1088,トヨタ,プリウス 1.8 S セーフティ プラス E-Four 4WD BIG-X9型ナビ バックカメラ 寒冷地仕様 レーダークルーズ 禁煙車 ヘッドアップディスプレイ LEDヘッド Bluetooth接続 フルセグ ETC オートエアコン オートライト,119.9,106.9,"2016
(H28)","7.6
万km",1800CC,CVT,Niigata,混合动力,/usedcar/detail/AU6929416745/index.html,2026-06-21,2016,7.6,1800.0,Mid-size (1501-2000cc),Toyota,Domestic
1089,スズキ,クロスビー 1.0 ハイブリッド MZ 禁煙車 純正8インチナビ 全周囲カメラ 衝突被害軽減システム コーナーセンサー LEDヘッド ビルトインETC クルコン 前席シートヒーター オートハイビーム 車線逸脱警報 オートライト,119.9,108.4,"2020
(R02)","8.5
万km",1000CC,6AT,Fukuoka,混合动力,/usedcar/detail/AU7073866389/index.html,2026-06-21,2020,8.5,1000.0,Compact (<=1500cc),Suzuki,Domestic
1090,ホンダ,ヴェゼル 1.5 ハイブリッド X Lパッケージ 4WD 4WD/ワンオーナー/純ナビ/フルセグ/BT/CD/バックカメラ/あんしんPKG/コンフォートビューPKG/シティブレーキアクティブシステム/クルーズコントロール/ブレーキホールド/ビルトインETC/LEDライト/ハーフレザーシート,113.9,106.9,"2014
(H26)","6.2
万km",1500CC,MT,Hokkaido,混合动力,/usedcar/detail/AU6986172581/index.html,2026-06-21,2014,6.2,1500.0,Compact (<=1500cc),Honda,Domestic
1091,トヨタ,ヴィッツ 1.5 ハイブリッド F 純正9型SDナビ バックカメラ セーフティセンス 禁煙車 ドラレコ コーナーセンサー スマートキー LEDヘッドライト ビルトインETC 車線逸脱警報 オートライト オートエアコン Bluetooth,115.9,104.0,"2019
(R01)","5.6
万km",1500CC,CVT,Shizuoka,混合动力,/usedcar/detail/AU7021154191/index.html,2026-06-21,2019,5.6,1500.0,Compact (<=1500cc),Toyota,Domestic
1092,レクサス,IS 300h バージョンL マークレビンソン サンルーフ BSM 黒革シート ベンチレーション クリアランスソナー フルセグTV Bluetooth ETC LEDオートライト レーダークルーズ ステアリングヒーター スマートキー,199.8,194.1,"2013
(H25)","4.1
万km",2500CC,CVT,Okayama,混合动力,/usedcar/detail/AU6922538519/index.html,2026-06-21,2013,4.1,2500.0,Large (2001-3000cc),Lexus,Domestic
1093,トヨタ,プリウス 1.8 S セーフティ プラス 1オーナー/純正9インチナビ/バックカメラ/レーダークルーズコントロール/インテリジェントパーキングアシスト/衝突軽減ブレーキ/クリアランスソナー/ETC/ドライブレコーダー/スマートキー×2/保証書,139.8,132.4,"2018
(H30)","7.5
万km",1800CC,CVT,Hiroshima,混合动力,/usedcar/detail/AU7082882255/index.html,2026-06-21,2018,7.5,1800.0,Mid-size (1501-2000cc),Toyota,Domestic
1094,日産,ノート 1.2 e-POWER X 禁煙車 純正ナビ Bluetooth接続 フルセグ DVD再生 衝突軽減装置 オートライト コーナーセンサー オートエアコン スマートキー 盗難防止装置 プライバシーガラス ETC,92.9,76.3,"2018
(H30)","3.5
万km",1200CC,AT,Niigata,混合动力,/usedcar/detail/AU7090865805/index.html,2026-06-21,2018,3.5,1200.0,Compact (<=1500cc),Nissan,Domestic
1095,トヨタ,プリウスα 1.8 S チューン ブラックII プリクラッシュ レーダークルーズ 純正ナビ フルセグ Bluetoothオーディオ バックカメラ ETC スマートキー LEDヘッドライト 5人乗り,152.8,139.3,"2018
(H30)","8.9
万km",1800CC,CVT,Saitama,混合动力,/usedcar/detail/AU6882107128/index.html,2026-06-21,2018,8.9,1800.0,Mid-size (1501-2000cc),Toyota,Domestic
1096,トヨタ,プリウス 1.8 S マイコーデ 禁煙車 純正SDナビ バックカメラ 衝突被害軽減システム コーナーセンサー スマートキー HIDヘッドライト ビルトインETC 純正16インチアルミ オートライト オートエアコン Bluetooth CD再生,79.9,67.7,"2015
(H27)","8.3
万km",1800CC,CVT,Saga,混合动力,/usedcar/detail/AU7008668922/index.html,2026-06-21,2015,8.3,1800.0,Mid-size (1501-2000cc),Toyota,Domestic
1097,日産,ノート 1.2 X 衝突軽減B 純正9インチナビ TV Bluetooth対応 Bカメラ ETC プッシュスタート 電子パーキング ヘッドライトレベライザー 電動格納ミラー オートエアコン,119.9,106.8,"2021
(R03)","2.3
万km",1200CC,AT,Fukui,混合动力,/usedcar/detail/AU6881202636/index.html,2026-06-21,2021,2.3,1200.0,Compact (<=1500cc),Nissan,Domestic
1098,トヨタ,ヤリス 1.5 ハイブリッド X 純正ディスプレイ ナビキット バックカメラ レーダクルーズコントロール ETC オートハイビーム オートライト オートエアコン キーレスエントリー 禁煙車 衝突被害軽減装置 横滑り防止システム,162.9,146.5,"2023
(R05)","2.5
万km",1500CC,CVT,Gunma,混合动力,/usedcar/detail/AU6953185464/index.html,2026-06-21,2023,2.5,1500.0,Compact (<=1500cc),Toyota,Domestic
1099,ホンダ,フィット 1.5 e:HEV ホーム 4WD 純正SDナビ バックカメラ 寒冷地仕様 ホンダセンシング アダプティブハイビーム 禁煙車 コーナーセンサー レーンキープ スマートキー LEDヘッド ETC オートハイビーム 車線逸脱警報,164.9,153.2,"2022
(R04)","2.2
万km",1500CC,AT,Iwate,混合动力,/usedcar/detail/AU7043127668/index.html,2026-06-21,2022,2.2,1500.0,Compact (<=1500cc),Honda,Domestic
