id,year,month,total_sales,registered_car_sales,kei_car_sales,registered_yoy_pct,kei_yoy_pct,ytd_total,ytd_yoy_pct,data_source,crawl_date
959,2015,9,173571,,173571,,-14.7,,,kcar_only,2026-06-24
960,2015,10,139198,,139198,,-10.8,,,kcar_only,2026-06-24
961,2015,11,149001,,149001,,-15.8,,,kcar_only,2026-06-24
962,2015,12,130375,,130375,,-34.8,,,kcar_only,2026-06-24
963,2016,1,145214,,145214,,-11.6,,,kcar_only,2026-06-24
964,2016,2,176163,,176163,,-9.1,,,kcar_only,2026-06-24
965,2016,3,231088,,231088,,-16.7,,,kcar_only,2026-06-24
966,2016,4,112034,,112034,,-7.5,,,kcar_only,2026-06-24
967,2016,5,107834,,107834,,-14.3,,,kcar_only,2026-06-24
968,2016,6,133141,,133141,,-18.4,,,kcar_only,2026-06-24
969,2016,7,133852,,133852,,-6.3,,,kcar_only,2026-06-24
970,2016,8,113388,,113388,,-2.0,,,kcar_only,2026-06-24
971,2016,9,159721,,159721,,-8.0,,,kcar_only,2026-06-24
972,2016,10,135871,,135871,,-2.4,,,kcar_only,2026-06-24
973,2016,11,144558,,144558,,-3.0,,,kcar_only,2026-06-24
974,2016,12,132596,,132596,,1.7,,,kcar_only,2026-06-24
975,2017,1,143565,,143565,,-1.1,,,kcar_only,2026-06-24
976,2017,2,172690,,172690,,-2.0,,,kcar_only,2026-06-24
977,2017,3,230720,,230720,,-0.2,,,kcar_only,2026-06-24
978,2017,4,130527,,130527,,16.5,,,kcar_only,2026-06-24
979,2017,5,135064,,135064,,25.3,,,kcar_only,2026-06-24
980,2017,6,161725,,161725,,21.5,,,kcar_only,2026-06-24
981,2017,7,149030,,149030,,11.3,,,kcar_only,2026-06-24
982,2017,8,121497,,121497,,7.2,,,kcar_only,2026-06-24
983,2017,9,177013,,177013,,10.8,,,kcar_only,2026-06-24
984,2017,10,140906,,140906,,3.7,,,kcar_only,2026-06-24
985,2017,11,148696,,148696,,2.9,,,kcar_only,2026-06-24
986,2017,12,131908,,131908,,-0.5,,,kcar_only,2026-06-24
987,2018,1,156105,,156105,,8.7,,,kcar_only,2026-06-24
988,2018,2,177211,,177211,,2.6,,,kcar_only,2026-06-24
989,2018,3,229193,,229193,,-0.7,,,kcar_only,2026-06-24
990,2018,4,140766,,140766,,7.8,,,kcar_only,2026-06-24
991,2018,5,135841,,135841,,0.6,,,kcar_only,2026-06-24
992,2018,6,161004,,161004,,-0.4,,,kcar_only,2026-06-24
993,2018,7,159657,,159657,,7.1,,,kcar_only,2026-06-24
994,2018,8,130860,,130860,,7.7,,,kcar_only,2026-06-24
995,2018,9,177053,,177053,,0.0,,,kcar_only,2026-06-24
